#ARTIST:Sido
#TITLE:Schlechtes Vorbild
#CREATOR:TrollZor
#BPM:388
#YEAR:2006
#VIDEO:v=9jjvlT78pU4
#LANGUAGE:German
#GAP:-22,917525773195962
#ALLKARAOKE_ID:sido-schlechtes-vorbild
#ALLKARAOKE_SID:3950
#ALLKARAOKE_LASTUPDATE:2025-01-19T00:12:29.353Z
#ALLKARAOKE_ARTISTORIGIN:DE
#ALLKARAOKE_REALBPM:97
#ALLKARAOKE_VOLUME:0,88
#ALLKARAOKE_OLDVOLUME:0,76
#MP3:Sido - Schlechtes Vorbild.mp3
#COVER:Sido - Schlechtes Vorbild [CO].jpg
#BACKGROUND:Sido - Schlechtes Vorbild [BG].jpg
- 2657
R 2664 3 0 Das 
R 2668 3 0 ist 
R 2672 3 0 der 
R 2676 3 0 Ernst 
R 2680 3 0 des 
R 2684 3 0 Le
R 2688 3 0 bens, 
R 2700 3 0 erst
R 2704 3 0 mal 
R 2708 6 0 einen 
R 2715 6 0 bauen
- 2721
R 2732 3 0 Ich 
R 2736 3 0 schwing 
R 2740 3 0 an 
R 2744 3 0 der 
R 2748 3 0 Lam
R 2752 3 0 pe 
R 2756 3 0 durchs 
R 2760 3 0 Zim
R 2764 3 0 mer 
R 2768 3 0 wie 
R 2772 5 0 Tar
R 2780 5 0 zan
- 2785
R 2795 3 0 Ich 
R 2799 3 0 bin 
R 2803 3 0 der 
R 2807 3 0 vor 
R 2811 3 0 dem 
R 2815 3 0 sie 
R 2819 3 0 dich 
R 2823 3 0 im
R 2827 3 0 mer 
R 2831 3 0 ge
R 2835 5 0 warnt 
R 2843 5 0 haben
- 2848
R 2860 5 0 Ich 
R 2868 5 0 bin 
R 2876 5 0 all 
R 2884 5 0 das 
R 2892 5 0 wo
R 2900 5 0 vor 
R 2908 5 0 dei
R 2916 5 0 ne 
R 2924 5 0 El
R 2932 5 0 tern 
R 2940 5 0 dich 
R 2948 3 0 im
R 2952 3 0 mer 
R 2956 5 0 ge
R 2964 5 0 warnt 
R 2972 5 0 haben
- 2977
R 2988 5 0 Doch 
R 2996 5 0 ich 
R 3004 5 0 hab 
R 3012 5 0 Geld, 
R 3020 5 0 hab 
R 3028 5 0 Frauen, 
R 3036 5 0 hab 
R 3044 5 0 Spaß 
R 3052 5 0 und 
R 3060 5 0 du 
R 3068 5 0 musst 
R 3076 3 0 im
R 3080 3 0 mer 
R 3084 5 0 noch 
R 3092 5 0 Bahn 
R 3100 5 0 fahren
- 3105
R 3116 5 0 Ich 
R 3124 5 0 bin 
R 3132 5 0 ein 
R 3140 5 0 schlech
R 3148 5 0 tes 
R 3156 5 0 Vor
R 3164 5 0 bild
- 3169
R 3180 5 0 Na 
R 3188 5 0 und 
R 3196 5 0 wer 
R 3204 5 0 sagt 
R 3212 5 0 was 
R 3220 5 0 schlecht 
R 3228 5 0 ist?
- 3233
R 3244 5 0 Ich 
R 3252 5 0 pas
R 3260 5 0 se 
R 3268 5 0 nicht 
R 3276 5 0 in 
R 3284 5 0 dein 
R 3292 5 0 Kon
R 3300 5 0 zept,
- 3305
R 3308 5 0 E
R 3316 5 0 gal 
R 3324 5 0 mir 
R 3332 5 0 geht 
R 3340 5 0 es 
R 3348 5 0 präch
R 3356 5 0 tig,
- 3361
R 3371 5 0 Pass 
R 3379 5 0 doch 
R 3387 5 0 auf, 
R 3404 5 0 hör 
R 3412 5 0 mir 
R 3420 5 0 zu, 
R 3435 5 0 mach's 
R 3443 5 0 mir 
R 3451 5 0 nach
- 3456
F 3468 3 0 (Mach's 
F 3472 3 0 mir 
F 3476 3 0 nach 
F 3480 3 0 du 
F 3484 3 0 Spin
F 3488 3 0 ner!)
- 3491
R 3500 5 0 Ich 
R 3508 5 0 bleib 
R 3516 5 0 so 
R 3524 5 0 wie 
R 3532 5 0 ich 
R 3540 5 0 bin 
R 3548 5 0 e
R 3556 5 0 gal 
R 3564 5 0 was 
R 3572 5 0 ihr 
R 3580 5 0 sagt
- 3585 3598
- 3598
R 3624 3 0 Wenn 
R 3628 3 0 eu
R 3632 3 0 er 
R 3636 3 0 Kind 
R 3640 3 0 ver
R 3644 3 0 sucht 
R 3648 3 0 wie 
R 3652 3 0 ich 
R 3656 3 0 zu 
R 3660 3 0 sein, 
R 3664 3 0 dann 
R 3668 3 0 lasst 
R 3672 3 0 es 
R 3676 3 0 ma
R 3680 3 0 chen
- 3683
R 3684 3 0 Man 
R 3688 3 0 lernt 
R 3692 3 0 nicht, 
R 3696 3 0 dass 
R 3700 3 0 Feu
R 3704 3 0 er 
R 3708 3 0 heiß 
R 3712 3 0 ist 
R 3716 3 0 oh
R 3720 3 0 ne 
R 3724 3 0 es 
R 3728 3 0 mal 
R 3732 3 0 an
R 3736 3 0 zu
R 3740 3 0 fas
R 3744 3 0 sen
- 3747
R 3748 3 0 Wo
R 3752 3 0 her 
R 3756 3 0 wollt 
R 3760 3 0 ihr 
R 3764 3 0 wis
R 3768 3 0 sen 
R 3772 3 0 was 
R 3776 3 0 gut 
R 3780 3 0 ist, 
R 3784 3 0 wenn 
R 3788 5 0 nichts 
R 3796 5 0 schlecht 
