#ARTIST:Diana King
#TITLE:Shy Guy
#CREATOR:RetroGirl
#BPM:376,17
#YEAR:1994
#VIDEO:v=szjaHbjhauk
#GENRE:Soundtrack
#LANGUAGE:English
#GAP:1893,1102958768643
#ALLKARAOKE_ID:diana-king-shy-guy
#ALLKARAOKE_SID:5046
#ALLKARAOKE_LASTUPDATE:2025-08-27T00:13:15.569Z
#ALLKARAOKE_ARTISTORIGIN:JM
#ALLKARAOKE_REALBPM:27
#ALLKARAOKE_SOURCEURL:Diana King - Shy Guy
#ALLKARAOKE_VOLUME:0,5
#MP3:Diana King - Shy Guy.mp3
: 3135 2 4 But 
: 3142 2 4 none 
: 3146 3 4 a 
: 3150 2 4 dem 
: 3154 2 2 no 
: 3158 6 2 move 
: 3166 3 2 me, 
: 3171 3 2 move 
: 3179 2 2 me, 
: 3183 5 2 move 
: 3191 1 7 me
: 3193 2 9 ~
- 3195
: 3198 2 2 Shy
: 3201 4 4 ~ 
: 3206 4 4 guy 
: 3211 2 4 a 
: 3214 3 4 weh 
: 3219 2 2 me 
: 3223 4 2 wan
: 3231 2 2 ty, 
: 3235 4 2 wan
: 3243 2 2 ty, 
: 3246 6 2 wan
: 3255 4 2 ty
- 3259
: 3262 2 4 On
: 3267 3 4 ly 
: 3271 2 4 him 
: 3275 2 4 can 
: 3278 2 4 make 
: 3282 2 2 me 
: 3287 5 2 i
: 3294 2 2 rie, 
: 3299 4 2 i
: 3307 2 2 rie, 
: 3311 6 2 i
: 3319 14 2 rie
- 3333
: 3342 2 2 Have 
: 3350 5 2 mer
: 3359 2 2 cy, 
: 3363 5 2 mer
: 3371 2 2 cy, 
: 3375 5 2 mer
: 3383 2 1 cy, 
: 3387 5 1 mer
: 3396 1 -1 cy, 
: 3399 7 -1 mer
: 3410 1 -5 cy
: 3412 2 -6 ~
- 3414
F 3423 3 0 Shy 
F 3428 6 0 man, 
F 3438 3 0 shy 
F 3444 8 0 man, 
F 3454 4 0 shy 
F 3460 6 0 man
- 3466
F 3470 1 0 Oh 
F 3473 1 0 me 
F 3478 4 0 sex, 
F 3485 2 0 oh 
F 3489 1 0 me 
F 3494 3 0 sex
- 3497 3515
- 3515
: 3540 1 1 Lo
: 3542 23 2 ~t 
: 3566 2 2 of 
: 3569 2 2 his 
: 3574 6 2 mer
: 3582 5 -3 cy
- 3587 3588
- 3588
: 3613 4 2 Shy 
: 3621 3 2 man 
: 3626 2 2 me 
: 3630 4 2 wan
: 3635 2 2 na 
: 3638 6 2 hear 
: 3647 3 -3 you
- 3650
: 3655 4 4 Full 
: 3662 2 4 of 
: 3666 3 4 you 
: 3670 1 4 wa
: 3672 1 6 ~nt 
